x,y,scaleX,scaleY,rotation
0.0,0.0,5.623,5.623,46.441099292122146
-4,2,5.434,5.434,47.79724352283408
0.0,0.0,6.028,6.028,44.83197766783356
0.0,0.0,5.736,5.736,50.48218430954649
0.0,0.0,6.223,6.223,45.65106038022949
0.0,0.0,5.975,5.975,44.3219750892487
0.0,0.0,5.889,5.889,43.45184230102203
0.0,0.0,5.65,5.65,37.63041642297489
0.0,0.0,6.241,6.241,44.18849931628812
0.0,0.0,4.555,4.555,53.255888715216734
0.0,0.0,3.75,3.75,53.13010235415598
0.0,0.0,5.605,5.605,40.29638529570681
0.0,0.0,5.007,5.007,47.22592389511403
0.0,0.0,5.609,5.609,47.3483533130996
0.0,0.0,5.202,5.202,50.264946754605816
0.0,0.0,6.054,6.054,48.01278750418334
0.0,0.0,6.153,6.153,46.31691240579327
0.0,0.0,5.61,5.61,42.290863999438145
0.0,0.0,5.19,5.19,37.3666694127687
0.0,0.0,5.295,5.295,39.251336582712234
0.0,0.0,4.516,4.516,54.46232220802562
0.0,0.0,3.814,3.814,55.684912400002716
